Nama,Alamat,Wilayah,Latitude,Longitude
Aneka Motor,Jl. Komodo Desa Kauman,"BUMIREJO, Kabupaten Pati",-6.714444,111.143056
Padmanaba I,Jl. Raya Boyolali Kav . 789,Kabupaten Boyolali,-7.450833,110.542778
Taruna Motor Sport,Jl. Bhayangkara No.78,Kota Surakarta,-7.576667,110.808889
Anugerah Motor,JL. P. DIPONEGORO 701 RT. 04/07,"Bumiayu, Kabupaten Brebes",-7.26667,109.01333
Motor Cahaya Sejati,Jl. Raya Mranggen No. 27,"Bandungrejo, Kabupaten Demak",-7.025278,110.513611
Sumber Karya,Jl. Raya Batu Lor 4,"Baturetno, Kabupaten Wonogiri",-7.977222,110.932778
Ud. Prima Jaya,JL. PROF. HAMKA NO. 7,Kota Semarang,-6.99444,110.34972
Judha Motor Ii,Tentara Pelajar 2,Kabupaten Purworejo,-7.717222,110.004722
Buana Sari Service,Jl. DR Muwardi 45 A rt.02 rw.07,"Kel.Gayam Kec.Sukoharjo, Kabupaten Sukoharjo",-7.683889,110.8475
Rado Motor,Jl. Jend. Sudirman Timur No. 10 desa randudongkal,"RANDU DONGKAL, Kabupaten Pemalang",-7.099722,109.321667
Arie Indah Motor,Jl. Raya Kudus-Jepara Km. 5 Mijen,"MIJEN, Kabupaten Kudus",-6.791667,110.795
Family Motor,Jl. A. Yani No. 100 A,Kabupaten Wonosobo,-7.381667,109.897222
Taruna Motor,JL. Raya Masaran No. 15,Kabupaten Sragen,-7.466944,110.9375
Mega Berlian,Jl. Raya Sukowati Gemolong,Kota Semarang,-7.3975,110.828611
Karya Abadi,Jl. Raya Jatisrono,Kabupaten Wonogiri,-7.826667,111.130556
Surya Motor,Jl. Mayjen.S.Parman NO. 97 DESA KAUMAN WIRADESA,"Wiradesa, Kabupaten Pekalongan",-6.891667,109.613056
Wahana Abadi Motor,JL.JEND.A.YANI 39,Kabupaten Brebes,-6.8725,109.045833
Mulya Jaya,"MOYORETNO RT.003 RW.012,DESA MATESIH","Matesih, Kabupaten Karanganyar",-7.650174,111.046485
Mercusuar Sakti Motor,JL. Pucang Gading 128 Mragen,Kabupaten Demak,-7.0399,110.494167
Naga Sakti,Jl.Ngesrep Timur V/75,Kota Semarang,-7.051389,110.426111
Koperasi Handayani,JL. TAMAN SISWA NO. 84,Kabupaten Semarang,-7.055,110.39472
Bengkel Motor Gondang,RY. KLATEN-YOGYAKARTA KM.4,"PLAWIKAN, JG. NALAN, Kabupaten Klaten",-7.721944,110.5625
